Entity,Code,Year,SocialExpenditureGDP(%)
Sweden,SWE,1880,0.72
Sweden,SWE,1890,0.85
Sweden,SWE,1900,0.85
Sweden,SWE,1910,1.03
Sweden,SWE,1920,1.14
Sweden,SWE,1930,2.59
Sweden,SWE,1960,10.371663
Sweden,SWE,1961,10.31828846
Sweden,SWE,1962,10.64236657
Sweden,SWE,1963,11.87388551
Sweden,SWE,1964,11.97488602
Sweden,SWE,1965,12.62406682
Sweden,SWE,1966,13.45810834
Sweden,SWE,1967,14.58088282
Sweden,SWE,1968,15.6460699
Sweden,SWE,1969,15.81166011
Sweden,SWE,1970,16.05500312
Sweden,SWE,1971,17.59211005
Sweden,SWE,1972,17.60745739
Sweden,SWE,1973,17.62963126
Sweden,SWE,1974,20.16717138
Sweden,SWE,1975,20.2679074
Sweden,SWE,1976,21.20627974
Sweden,SWE,1977,23.46314589
Sweden,SWE,1978,24.13642272
Sweden,SWE,1979,24.08259006
Sweden,SWE,1980,24.847
Sweden,SWE,1985,26.967
Sweden,SWE,1990,27.237
Sweden,SWE,1995,30.561
Sweden,SWE,2000,26.773
Sweden,SWE,2005,27.351
Sweden,SWE,2010,26.268
Sweden,SWE,2013,27.386
Sweden,SWE,2014,27.136
Sweden,SWE,2015,26.677
Sweden,SWE,2016,27.057
