Year,January,February,March,April,May,June,July,August,September,October,November,December
1990,8.4,10.4,16.9,21.5,24.7,31,33.7,32.1,28.8,21.7,13.9,5.6
1991,8.6,14.3,12.2,18.6,21.8,28.4,33.8,31.6,28.3,22.8,13.4,8.8
1992,8.9,12.7,15.1,21.9,26.5,29.5,32.3,32.9,29.3,22.2,12.1,7.1
1993,8.2,10.7,16.7,20.3,25.6,28.7,32.6,32,28,21.2,11.4,8.6
1994,10.2,9.8,17.7,20.4,25.4,33.1,34.7,34.4,29,20.2,10.3,9.2
1995,9.2,15.4,15,18.8,22.3,27.8,34.2,34.6,29.7,21.7,16.4,10.3
1996,10.1,13.7,16.4,21.2,26.1,31.4,35,34.2,27.8,20.3,14.6,9.8
1997,10,11.8,18,19.5,28.5,30,32.2,33.6,28.3,20.6,14.4,8.7
1998,9.9,10.3,14.3,16.8,21.7,27.3,33.8,33.9,27.3,19.8,13.3,9.4
1999,10.9,12.2,16.5,16.7,24.7,30.2,31.8,31.7,28.2,22.6,15.5,9.9
2000,11.4,12.6,15.4,22.4,27.7,32.2,34.1,33.2,28.2,20.2,10.8,10.3
