Year,January,February,March,April,May,June,July,August,September,October,November,December
1990,7.6,8.5,10.8,14.1,18.4,23.6,26.3,24.2,20.5,16.9,11.1,7.6
1991,4.2,6.3,10.1,15.3,21.9,23.7,26.7,25.5,21.6,15.2,9.4,6.4
1992,4.4,5.6,8.1,14,16.2,21.2,26,22.8,20.9,13.1,10,4.7
1993,4.9,2.8,7.3,12.9,19.4,23.6,27.7,25.5,22.2,14.4,10.2,3.6
1994,0.4,4.2,9.1,16.9,16.9,25.2,26.9,23.8,20.3,13.9,11.1,7.2
1995,4.4,3.3,9.8,14.1,18.4,23.1,26.8,25.7,20.2,16.3,6.9,2.1
1996,1.3,3.3,6.3,14.4,18.3,24,24.8,23.6,21.3,15.1,6.3,6.7
1997,3.2,6.6,9.9,12.1,17.3,21.9,25.6,24.4,21.4,15.1,8.2,4.5
1998,6.3,6.9,9.3,14.5,19.8,23.4,25.8,25.8,23.6,15.5,9.8,6.9
1999,5.6,5.7,7.4,14.4,18.7,22.4,26.6,25.6,20.4,14.1,11.7,5.9
2000,2.5,6.4,11.2,13.7,20.1,24.2,23.8,23.9,19.8,15.4,7.9,0.7
