nr,ar,jan,feb,mar,apr,mai,jun,jul,agu,sep,oct,nov,des,arid
1,1974,0.9,-0.3,3.7,6.3,8.0,9.2,11.2,10.0,5.8,4.7,2.3,-2.3,5.0
1,1975,-2.8,2.9,0.5,2.3,5.8,7.9,9.5,10.2,5.6,6.6,1.9,-0.5,4.2
1,1976,-2.4,0.3,1.1,2.9,6.0,9.4,11.4,9.4,8.4,5.8,2.9,-1.4,4.5
1,1977,-1.9,0.2,3.1,1.8,6.8,8.3,11.1,10.6,7.3,5.0,-0.7,1.4,4.4
1,1978,-2.0,-0.8,1.3,4.1,5.9,7.8,11.0,11.1,7.8,4.4,0.4,1.3,4.4
1,1979,-4.1,0.1,-4.0,2.0,2.3,8.0,9.6,10.1,5.5,4.7,0.5,-0.4,2.9
1,1980,-0.2,1.4,0.6,3.5,6.7,9.3,10.8,10.7,8.1,1.7,0.8,-1.3,4.3
1,1981,-2.1,-1.1,-0.9,3.8,6.6,8.8,10.5,10.2,7.4,0.5,-0.4,-2.2,3.4
1,1982,-1.5,1.9,0.2,3.2,5.5,9.9,10.7,9.4,5.6,4.7,-0.6,-1.6,3.9
1,1983,-2.2,1.2,-0.5,-0.1,6.2,8.0,8.5,8.2,6.6,3.8,1.4,-0.2,3.4
1,1984,-4.0,-0.3,1.2,2.9,5.6,9.3,11.2,9.9,7.4,3.5,1.2,0.4,4.0
1,1985,0.1,1.0,-0.4,3.6,6.8,9.3,9.9,10.6,6.7,6.5,0.3,-1.3,4.4
1,1986,-0.5,2.0,0.4,3.6,5.6,8.4,10.5,10.0,7.4,2.4,0.6,-0.8,4.1
1,1987,3.1,1.6,0.4,2.5,6.4,9.9,11.1,10.9,8.0,2.2,4.2,4.2,5.4
1,1988,-3.0,-1.4,-0.1,0.6,7.5,8.2,11.1,10.7,6.9,4.5,3.5,0.8,4.1
1,1989,0.0,-3.0,-1.0,1.5,4.8,8.7,9.6,10.0,7.0,5.2,2.2,0.4,3.8
1,1990,0.4,-1.6,-1.5,0.4,7.2,9.8,11.6,11.1,6.6,5.0,3.7,-0.3,4.4
1,1991,1.1,2.2,1.8,1.3,6.8,9.5,13.0,11.0,7.7,4.7,0.2,1.3,5.0
1,1992,2.5,0.1,0.5,2.6,5.8,7.8,9.9,9.9,6.8,4.3,0.8,-0.5,4.2
1,1993,-2.3,0.7,1.3,3.7,5.4,9.1,10.1,9.3,9.1,4.8,3.5,-1.6,4.4
1,1994,-1.7,1.0,-1.4,1.6,6.9,8.0,12.0,10.6,7.0,3.6,2.4,-1.0,4.1
1,1995,-2.0,-2.1,-2.1,1.5,6.7,9.0,10.5,10.5,7.9,3.7,1.8,-0.1,3.8
1,1996,2.2,-0.7,2.6,4.4,7.2,9.8,10.9,10.3,10.4,4.4,-1.9,0.5,5.0
1,1997,1.0,-1.3,-0.3,3.9,6.0,8.4,12.0,11.1,7.9,5.6,3.9,2.8,5.1
1,1998,0.6,-1.0,-1.4,4.0,6.6,10.1,11.1,11.3,8.3,2.9,2.2,1.2,4.7
1,1999,0.1,-1.3,-1.0,2.8,6.7,9.0,10.9,11.3,8.5,5.6,2.0,-1.0,4.5
1,2000,0.7,-1.0,0.6,1.5,6.5,9.4,11.5,10.7,8.7,4.8,0.9,0.1,4.5
